App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app45	actions.<p eID="novel1_letter4_chapter11_div4_div12_p1"/><p sID="novel1_letter4_chapter11_div4_div12_p2"/><pb n="054" xml:id="F1818_v2_058"/>“The 	actions.<p eID="novel1_letter4_chapter11_div4_div11_p1"/><p sID="novel1_letter4_chapter11_div4_div11_p2"/><pb n="235" xml:id="F1823_v1_254"/>“The 	actions.<p eID="novel1_letter4_chapter12_div4_div12_p1"/><p sID="novel1_letter4_chapter12_div4_div12_p2"/>“The 	<del rend="strikethrough" sID="c57-0016__main__d3e3281"/>motions<del eID="c57-0016__main__d3e3281"/> actions.—<milestone unit="tei:p"/><lb n="c57-0016__main__2"/> The<mdel>y</mdel><metamark function="insert">^</metamark>cottagers 	actions.<p eID="novel1_letter4_chapter11_div4_div12_p1"/><p sID="novel1_letter4_chapter11_div4_div12_p2"/><pb n="054" xml:id="F1818_v2_058"/>“The 
C18_app46	cottagers 	cottagers 	cottagers 		cottagers 
C18_app47	arose the next morning before 	arose the next morning before 	arose the next morning before 	arose the next morning before 	arose the next morning before 
C18_app48				<lb n="c57-0016__main__3"/> 	
C18_app49	the 	the 	the 	the 	the 
C18_app50	sun. 	sun. 	sun. 	sun;– 	sun. 
C18_app51	The 	The 	<pb n="94" xml:id="F1831_v_110"/>The 	The 	The 
C18_app52	young woman arranged the 	young woman arranged the 	young woman arranged the 	young woman arranged the 	young woman arranged the 
C18_app53	cottage, and 	cottage, and 	cottage, and 	<lb n="c57-0016__main__4"/> cottage &<del rend="strikethrough" sID="c57-0016__main__d3e3308"/>per<del eID="c57-0016__main__d3e3308"/> 	cottage, and 
C18_app54	prepared the food; and the 	prepared the food; and the 	prepared the food; and the 	prepared the food; & the 	prepared the food; and the 
C18_app55				<lb n="c57-0016__main__5"/> 	
C18_app56	youth 	youth 	youth 	youth 	youth 
C18_app57	departed after the first meal.<p eID="novel1_letter4_chapter11_div4_div12_p2"/><p sID="novel1_letter4_chapter11_div4_div12_p3"/>“This 	departed after the first meal.<p eID="novel1_letter4_chapter11_div4_div11_p2"/><p sID="novel1_letter4_chapter11_div4_div11_p3"/>“This 	departed after the first meal.<p eID="novel1_letter4_chapter12_div4_div12_p2"/><p sID="novel1_letter4_chapter12_div4_div12_p3"/>“This 	mounted on a large strange animal <lb n="c57-0016__main__6"/><del rend="strikethrough" sID="c57-0016__main__d3e3315"/>road<del eID="c57-0016__main__d3e3315"/> rode away. This 	departed after the first meal.<p eID="novel1_letter4_chapter11_div4_div12_p2"/><p sID="novel1_letter4_chapter11_div4_div12_p3"/>“This 
C18_app58	day was passed in 	day was passed in 	day was passed in 	day was passed in 	day was passed in 
C18_app59				<lb n="c57-0016__main__7"/> 	
C18_app60	the same routine 	the same routine 	the same routine 	the same routine 	the same routine 
C18_app61	as that which preceded it. 	as that which preceded it. 	as that which preceded it. 	<del rend="strikethrough" sID="c57-0016__main__d3e3323"/>and<del eID="c57-0016__main__d3e3323"/>as the preceeding one. <lb n="c57-0016__main__8"/> 	as that which preceded it. 
C18_app62	The 	The 	The 	The 	The 
C18_app63				<del rend="strikethrough" sID="c57-0016__main__d3e3332"/>young<del eID="c57-0016__main__d3e3332"/> 	
C18_app64	young man was constantly 	young man was constantly 	young man was constantly 	young man was constantly 	young man was constantly 
C18_app65				<lb n="c57-0016__main__9"/> 	
C18_app66	employed out of 	employed out of 	employed out of 	employed out of 	employed out of 
C18_app67	doors, 	doors, 	doors, 	doors 	doors, 
C18_app68	and the girl in 	and the girl in 	and the girl in 	and the girl in 	and the girl in 
C18_app69				<lb n="c57-0016__main__10"/> 	
C18_app70	various laborious occupations 	various laborious occupations 	various laborious occupations 	various laborious occupations 	various laborious occupations 
C18_app71	within. 	within. 	within. 	within..— 	within. 
C18_app72	The old 	The old 	The old 	The old 	The old 
C18_app73	man, 	man, 	man, 	<lb n="c57-0016__main__11"/> man 	man, 
C18_app74	whom I soon perceived to be 	whom I soon perceived to be 	whom I soon perceived to be 	whom I soon perceived to be 	whom I soon perceived to be 
C18_app75	blind, 	blind, 	blind, 	blind <lb n="c57-0016__main__12"/> 	blind, 
C18_app76	employed his leisure hours 	employed his leisure hours 	employed his leisure hours 	employed his leisure hours 	employed his leisure hours 
C18_app77				in playing <lb n="c57-0016__main__13"/> 	
C18_app78	on his 	on his 	on his 	on his 	on his 
C18_app79	instrument, 	instrument 	instrument 	instrument 	instrument, 
C18_app80	or in 	or in 	or in 	or in 	or in 
C18_app81	contemplation. 	contemplation. 	contemplation. 	<del rend="strikethrough" sID="c57-0016__main__d3e3355"/>pesively<del eID="c57-0016__main__d3e3355"/><lb n="c57-0016__main__14"/> contemplation – 	contemplation. 
C18_app82	Nothing could exceed 	Nothing could exceed 	Nothing could exceed 	Nothing could exceed 	Nothing could exceed 
C18_app83				<lb n="c57-0016__main__15"/> 	
C18_app84	the love and respect 	the love and respect 	the love and respect 	the love & respect 	the love and respect 
C18_app85	which 	which 	which 	that 	which 
C18_app86	the younger 	the younger 	the younger 	the younger 	the younger 
C18_app87				<lb n="c57-0016__main__16"/> 	
C18_app88	cottagers 	cottagers 	cottagers 	cottagers 	cottagers 
C18_app89	exhibited 	exhibited 	exhibited 	<del rend="strikethrough" sID="c57-0016__main__d3e3367"/>bore<del eID="c57-0016__main__d3e3367"/>shewed 	exhibited 
C18_app90	towards 	towards 	towards 	towards 	towards 
C18_app91	their 	their 	their 	this 	their 
C18_app92	venerable 	venerable 	venerable 	venerable 	venerable 
C18_app93	companion. 	companion. 	companion. 	<lb n="c57-0016__main__17"/> old man – 	companion. 
C18_app94	They performed towards him every 	They performed towards him every 	They performed towards him every 	They performed towards <metamark function="insert">^</metamark>him every 	They performed towards him every 
C18_app95				<lb n="c57-0016__main__18"/> 	
C18_app96	little office of 	little office of 	little office of 	little office of 	little office of 
C18_app97	affection and 	affection and 	affection and 	<del rend="strikethrough" sID="c57-0016__main__d3e3393"/>love<del eID="c57-0016__main__d3e3393"/>affection& 	affection and 
C18_app98	duty with gentleness; 	duty with gentleness; 	duty with gentleness; 	duty with gentleness; 	duty with gentleness; 
C18_app99				<lb n="c57-0016__main__19"/> 	
C18_app100	and he rewarded them by his 	and he rewarded them by his 	and he rewarded them by his 	and he rewarded them by his 	and he rewarded them by his 
C18_app101	benevolent smiles.<p eID="novel1_letter4_chapter11_div4_div12_p3"/><p sID="novel1_letter4_chapter11_div4_div12_p4"/>“They 	benevolent smiles.<p eID="novel1_letter4_chapter11_div4_div11_p3"/><p sID="novel1_letter4_chapter11_div4_div11_p4"/>“They 	benevolent smiles.<p eID="novel1_letter4_chapter12_div4_div12_p3"/><p sID="novel1_letter4_chapter12_div4_div12_p4"/>“They 	benevo <lb n="c57-0016__main__20"/> lent smiles. <del rend="strikethrough" sID="c57-0016__main__d3e3404"/>B<del eID="c57-0016__main__d3e3404"/><milestone unit="tei:p"/><lb n="c57-0016__main__21"/> They 	benevolent smiles.<p eID="novel1_letter4_chapter11_div4_div12_p3"/><p sID="novel1_letter4_chapter11_div4_div12_p4"/>“They 
C18_app102	were not 	were not 	were not 	were not 	were not 
C18_app103				however 	
C18_app104	entirely 	entirely 	entirely 	entirely 	entirely 
