App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app237	trait of kindness moved me sensibly. 	trait of kindness moved me sensibly. 	trait of kindness moved me sensibly. 	trait of kindness moved me sensibly. 	trait of kindness moved me sensibly. 
C18_app238				<lb n="c57-0018__main__20"/> 	
C18_app239	I had been 	I had been 	I had been 	I had been 	I had been 
C18_app240	accustomed, 	accustomed, 	accustomed, 	accustomed 	accustomed, 
C18_app241	during the 	during the 	during the 	during the 	during the 
C18_app242	night, 	night, 	night, 	night <lb n="c57-0018__main__21"/> 	night, 
C18_app243	to steal a part of their store 	to steal a part of their store 	to steal a part of their store 	to steal a part of their store 	to steal a part of their store 
C18_app244	for 	for 	<pb n="95" xml:id="F1831_v_111"/>for 	for 	for 
C18_app245	my 	my 	my 	my 	my 
C18_app246				<lb n="c57-0018__main__22"/> 	
C18_app247	own consumption; but when I found 	own consumption; but when I found 	own consumption; but when I found 	own consumption; but when I found 	own consumption; but when I found 
C18_app248				<lb n="c57-0018__main__23"/> 	
C18_app249	that in doing this I inflicted pain on the 	that in doing this I inflicted pain on the 	that in doing this I inflicted pain on the 	that in doing this I inflicted pain on the 	that in doing this I inflicted pain on the 
C18_app250				<lb n="c57-0018__main__24"/> 	
C18_app251	cottagers, I abstained, 	cottagers, I abstained, 	cottagers, I abstained, 	cottagers, I abstained, 	cottagers, I abstained, 
C18_app252	<pb n="057" xml:id="F1818_v2_061"/>and 	<pb n="238" xml:id="F1823_v1_257"/>and 	and 	and 	<pb n="057" xml:id="F1818_v2_061"/>and 
C18_app253	satisfied 	satisfied 	satisfied 	satisfied 	satisfied 
C18_app254	myself 	myself 	myself 	my <lb n="c57-0018__main__25"/> self 	myself 
C18_app255	with 	with 	with 	with 	with 
C18_app256	berries, nuts, 	berries, nuts, 	berries, nuts, 	berries nuts 	berries, nuts, 
C18_app257	and 	and 	and 	and 	and 
C18_app258	roots, 	roots, 	roots, 	roots 	roots, 
C18_app259	which 	which 	which 	which 	which 
C18_app260				<lb n="c57-0018__main__26"/> 	
C18_app261	I 	I 	I 	I 	I 
C18_app262	gathered 	gathered 	gathered 	<del rend="strikethrough" sID="c57-0018__main__d3e3803"/>found<del eID="c57-0018__main__d3e3803"/><mdel>in</mdel>gathered 	gathered 
C18_app263	from a neighbouring 	from a neighbouring 	from a neighbouring 	from a neighbouring 	from a neighbouring 
C18_app264	wood.<p eID="novel1_letter4_chapter11_div4_div12_p6"/><p sID="novel1_letter4_chapter11_div4_div12_p7"/>“I 	wood.<p eID="novel1_letter4_chapter11_div4_div11_p6"/><p sID="novel1_letter4_chapter11_div4_div11_p7"/>“I 	wood.<p eID="novel1_letter4_chapter12_div4_div12_p6"/><p sID="novel1_letter4_chapter12_div4_div12_p7"/>“I 	wood. I <del rend="strikethrough" sID="c57-0018__main__d3e3819"/>found<del eID="c57-0018__main__d3e3819"/><metamark function="insert">^</metamark>discovered 	wood.<note sID="novel1_letter4_chapter11_div4_div12_p6_note1"/>Thomas copy: pencil mark joins paragraphs.<note eID="novel1_letter4_chapter11_div4_div12_p6_note1"/> “I 
C18_app265	discovered 	discovered 	discovered 		discovered 
C18_app266	also 	also 	also 	also 	also 
C18_app267				<lb n="c57-0018__main__27"/> 	
C18_app268	another means 	another means 	another means 	another means 	another means 
C18_app269	through 	through 	through 	by 	through 
C18_app270	which I was 	which I was 	which I was 	which I was 	which I was 
C18_app271	enabled 	enabled 	enabled 	able <lb n="c57-0018__main__28"/> 	enabled 
C18_app272	to assist their labours. I found that the youth spent a great part of each 	to assist their labours. I found that the youth spent a great part of each 	to assist their labours. I found that the youth spent a great part of each 	to assist their labours. I found that the<lb n="c57-0019__main__1"/> youth spent a great part of each 	to assist their labours. I found that the youth spent a great part of each 
C18_app273				<lb n="c57-0019__main__2"/> 	
C18_app274	day in 	day in 	day in 	day in 	day in 
C18_app275				<del rend="strikethrough" sID="c57-0019__main__d3e3848"/>felling<del eID="c57-0019__main__d3e3848"/> 	
C18_app276	collecting wood for the 	collecting wood for the 	collecting wood for the 	collecting wood for the 	collecting wood for the 
C18_app277				<lb n="c57-0019__main__3"/> 	
C18_app278	family 	family 	family 	family 	family 
C18_app279	fire; and, 	fire; and, 	fire; and, 	fire–and 	fire; and, 
C18_app280	during the 	during the 	during the 	during the 	during the 
C18_app281	night, 	night, 	night, 	night 	night, 
C18_app282	I often 	I often 	I often 	I often 	I often 
C18_app283				<lb n="c57-0019__main__4"/> 	
C18_app284	took his 	took his 	took his 	took his 	took his 
C18_app285	tools, 	tools, 	tools, 	tools 	tools, 
C18_app286	the 	the 	the 	the 	the 
C18_app287				<del rend="strikethrough" sID="c57-0019__main__d3e3856"/>com<del eID="c57-0019__main__d3e3856"/> 	
C18_app288	use of which I 	use of which I 	use of which I 	use of which I 	use of which I 
C18_app289				<lb n="c57-0019__main__5"/> 	
C18_app290	quickly 	quickly 	quickly 	quickly 	quickly 
C18_app291	discovered, 	discovered, 	discovered, 	discovered 	discovered, 
C18_app292	and brought home 	and brought home 	and brought home 	and brought home 	and brought home 
C18_app293				<lb n="c57-0019__main__6"/><del rend="strikethrough" sID="c57-0019__main__d3e3866"/>for them<del eID="c57-0019__main__d3e3866"/> 	
C18_app294	firing sufficient for the 	firing sufficient for the 	firing sufficient for the 	firing sufficient <metamark function="insert">^</metamark>for the 	firing sufficient for the 
C18_app295	consumption of several days.<p eID="novel1_letter4_chapter11_div4_div12_p7"/><p sID="novel1_letter4_chapter11_div4_div12_p8"/>“I remember, 	consumption of several days.<p eID="novel1_letter4_chapter11_div4_div11_p7"/><p sID="novel1_letter4_chapter11_div4_div11_p8"/>“I remember, 	consumption of several days.<p eID="novel1_letter4_chapter12_div4_div12_p7"/><p sID="novel1_letter4_chapter12_div4_div12_p8"/>“I remember, 	consumption<del rend="strikethrough" sID="c57-0019__main__d3e3881"/>f<del eID="c57-0019__main__d3e3881"/>o<mdel>r</mdel>f seve <lb n="c57-0019__main__7"/> ral days– <milestone unit="tei:p"/><metamark function="paragraph">[</metamark>I remember 	consumption of several days.<p eID="novel1_letter4_chapter11_div4_div12_p6"/><p sID="novel1_letter4_chapter11_div4_div12_p7"/>“I remember, 
C18_app296	the first time that I 	the first time that I 	the first time that I 	the first time that I 	the first time that I 
C18_app297				<lb n="c57-0019__main__8"/> 	
C18_app298	did this, the young 	did this, the young 	did this, the young 	did this, the young 	did this, the young 
C18_app299	woman, when she 	woman, when she 	woman, when she 	woman who 	woman, when she 
C18_app300	opened 	opened 	opened 	opened 	opened 
C18_app301				<lb n="c57-0019__main__9"/> 	
C18_app302	the door in the 	the door in the 	the door in the 	the door in the 	the door in the 
C18_app303	morning, appeared 	morning, appeared 	morning, appeared 	morning <del rend="strikethrough" sID="c57-0019__main__d3e3911"/>was<del eID="c57-0019__main__d3e3911"/>appeared 	morning, appeared 
C18_app304	greatly 	greatly 	greatly 	greatly 	greatly 
C18_app305	astonished on seeing 	astonished on seeing 	astonished on seeing 	sur <lb n="c57-0019__main__10"/> prisedastonished to see 	astonished on seeing 
C18_app306	a great pile of wood on 	a great pile of wood on 	a great pile of wood on 	a great pile of wood on 	a great pile of wood on 
C18_app307				<lb n="c57-0019__main__11"/> 	
C18_app308	the 	the 	the 	the 	the 
C18_app309	outside. 	outside. 	outside. 	outside – 	outside. 
C18_app310	She 	She 	She 	she 	She 
C18_app311	uttered 	uttered 	uttered 	said 	uttered 
C18_app312	some words in a 	some words in a 	some words in a 	some words in a 	some words in a 
C18_app313				<lb n="c57-0019__main__12"/> 	
C18_app314	loud voice, and 	loud voice, and 	loud voice, and 	loud voice, & 	loud voice, and 
C18_app315				presently 	
C18_app316	the youth joined 	the youth joined 	the youth joined 	the youth joined 	the youth joined 
C18_app317	her, 	her, 	her, 	<lb n="c57-0019__main__13"/> her 	her, 
C18_app318	who also 	who also 	who also 	who also 	who also 
C18_app319	expressed surprise. 	expressed surprise. 	expressed surprise. 	appeared astonished. <del rend="strikethrough" sID="c57-0019__main__d3e3936"/>and<del eID="c57-0019__main__d3e3936"/><lb n="c57-0019__main__14"/> 	expressed surprise. 
C18_app320	I 	I 	I 	I 	I 
C18_app321	observed, 	observed, 	observed, 	observed <del rend="strikethrough" sID="c57-0019__main__d3e3942"/>th<del eID="c57-0019__main__d3e3942"/> 	observed, 
C18_app322	with 	with 	with 	with 	with 
C18_app323	pleasure, 	pleasure, 	pleasure, 	pleasure 	pleasure, 
C18_app324	that he 	that he 	that he 	that he 	that he 
C18_app325				<lb n="c57-0019__main__15"/> 	
C18_app326	did not go to the 	did not go to the 	did not go to the 	did not go to the 	did not go to the 
C18_app327	forest 	forest 	forest 	<del rend="strikethrough" sID="c57-0019__main__d3e3949"/>wood<del eID="c57-0019__main__d3e3949"/><metamark function="insert">^</metamark>forest 	forest 
C18_app328	that 	that 	that 	that 	that 
C18_app329	day, 	day, 	day, 	day 	day, 
C18_app330	but 	but 	but 	but 	but 
C18_app331				<lb n="c57-0019__main__16"/> 	
C18_app332	spent it in 	spent it in 	spent it in 	spent it in 	spent it in 
C18_app333	repair<pb n="058" xml:id="F1818_v2_062"/>ing 	repair<pb n="239" xml:id="F1823_v1_258"/>ing 	repairing 	repairing 	repair<pb n="058" xml:id="F1818_v2_062"/>ing 
C18_app334	the 	the 	the 	the 	the 
C18_app335	cottage, 	cottage, 	cottage, 	cottage 	cottage, 
C18_app336	and 	and 	and 	& 	and 
C18_app337				in <lb n="c57-0019__main__17"/> 	
C18_app338	cultivating the 	cultivating the 	cultivating the 	cultivating the 	cultivating the 
C18_app339	garden.<p eID="novel1_letter4_chapter11_div4_div12_p8"/><p sID="novel1_letter4_chapter11_div4_div12_p9"/>“By 	garden.<p eID="novel1_letter4_chapter11_div4_div11_p8"/><p sID="novel1_letter4_chapter11_div4_div11_p9"/>“By 	garden.<p eID="novel1_letter4_chapter12_div4_div12_p8"/><p sID="novel1_letter4_chapter12_div4_div12_p9"/>“By 	garden.—<milestone unit="tei:p"/><lb n="c57-0019__main__18"/><del rend="strikethrough" sID="c57-0019__main__d3e3973"/>Soon after<del eID="c57-0019__main__d3e3973"/><metamark function="insert">^</metamark>By 	garden.<p eID="novel1_letter4_chapter11_div4_div12_p7"/><p sID="novel1_letter4_chapter11_div4_div12_p8"/>“By 
C18_app340	degrees 	degrees 	degrees 	degrees 	degrees 
C18_app341				also 	
C18_app342	I made 	I made 	I made 	I made 	I made 
C18_app343	a 	a 	a 	another 	a 
C18_app344	discovery 	discovery 	discovery 	discovery 	discovery 
C18_app345				<lb n="c57-0019__main__19"/><del rend="strikethrough" sID="c57-0019__main__d3e3990"/>which was that<del eID="c57-0019__main__d3e3990"/><lb n="c57-0019__left_margin__1"/><del rend="strikethrough" sID="c57-0019__left_margin__d3e4001"/>to me<del eID="c57-0019__left_margin__d3e4001"/> 	
C18_app346	of still 	of still 	of still 	of still 	of still 
C18_app347				<lb n="c57-0019__left_margin__2"/> 	
C18_app348	greater 	greater 	greater 	greater 	greater 
C18_app349	moment. 	moment. 	moment. 	<lb n="c57-0019__left_margin__3"/> moment <metamark function="insert">^</metamark>to me 	moment. 
C18_app350	I 	I 	I 	I 	I 
C18_app351	found that 	found that 	found that 	<lb n="c57-0019__left_margin__4"/> found<metamark function="insert">^</metamark>that 	found that 
C18_app352	these people 	these people 	these people 	these people 	these people 
C18_app353	possessed 	possessed 	possessed 	<mdel>ha</mdel><mdel>d</mdel>posessed 	possessed 
C18_app354	a 	a 	a 	a 	a 
C18_app355	method 	method 	method 	<lb n="c57-0019__main__20"/><del rend="strikethrough" sID="c57-0019__main__d3e4056"/>means<del eID="c57-0019__main__d3e4056"/>method 	method 
C18_app356	of communicating their 	of communicating their 	of communicating their 	of communicating their 	of communicating their 
C18_app357	experience 	experience 	experience 	<del rend="strikethrough" sID="c57-0019__main__d3e4063"/>ideas<del eID="c57-0019__main__d3e4063"/>experience 	experience 
C18_app358	and 	and 	and 	& 	and 
C18_app359				to 	
C18_app360	feelings 	feelings 	feelings 	<lb n="c57-0019__main__21"/>feelings 	feelings 
C18_app361	to 	to 	to 		to 
C18_app362	one another by articulate 	one another by articulate 	one another by articulate 	one another by articulate 	one another by articulate 
C18_app363	sounds. 	sounds. 	sounds. 	sounds which <lb n="c57-0019__main__22"/> they uttered <del rend="strikethrough" sID="c57-0019__main__d3e4079"/>som<del eID="c57-0019__main__d3e4079"/> —<del rend="strikethrough" sID="c57-0019__main__d3e4085"/>w<del eID="c57-0019__main__d3e4085"/> 	sounds. 
C18_app364	I 	I 	I 	I 	I 
C18_app365	perceived 	perceived 	perceived 	<del rend="strikethrough" sID="c57-0019__main__d3e4088"/>often<del eID="c57-0019__main__d3e4088"/> percieved 	perceived 
C18_app366	that 	that 	that 	that 	that 
C18_app367				<lb n="c57-0019__main__23"/> 	
C18_app368	the words they spoke 	the words they spoke 	the words they spoke 	the words they spoke 	the words they spoke 
C18_app369	sometimes 	sometimes, 	sometimes, 	<metamark function="insert">^</metamark>sometimes 	sometimes 
C18_app370	produced 	produced 	produced 	produced 	produced 
C18_app371	pleasure or 	pleasure or 	pleasure or 	plea <lb n="c57-0019__main__24"/> sure 	pleasure or 
C18_app372	pain, smiles or 	pain, smiles or 	pain, smiles or 	pain, smiles or 	pain, smiles or 
C18_app373	sadness, 	sadness, 	sadness, 	sadness 	sadness, 
C18_app374	in the minds 	in the minds 	in the minds 	in the <lb n="c57-0019__main__25"/><lb n="c57-0019__left_margin__1"/>minds 	in the minds 
C18_app375	and countenances 	and countenances 	and countenances 	&countenances 	and countenances 
C18_app376	of the 	of the 	of the 	of the 	of the 
C18_app377	hearers. 	hearers. 	hearers. 	hear<mdel>ee</mdel>ers– 	hearers. 
C18_app378	This was 	This was 	This was 	This was 	This was 
C18_app379				<lb n="c57-0019__main__26"/> 	
C18_app380	indeed a godlike 	indeed a godlike 	indeed a godlike 	indeed a Godlike 	indeed a godlike 
C18_app381	science, 	science, 	science, 	science 	science, 
C18_app382	and I ardently 	and I ardently 	and I ardently 	and I ardently 	and I ardently 
C18_app383	desired 	desired 	desired 	<lb n="c57-0019__main__27"/><del rend="strikethrough" sID="c57-0019__main__d3e4139"/>wished<del eID="c57-0019__main__d3e4139"/><lb n="c57-0019__left_margin__1"/>desired 	desired 
C18_app384	to become acquainted with 	to become acquainted with 	to become acquainted with 	to become acquainted with 	to become acquainted with 
C18_app385	it. But 	it. But 	it. But 	it–But <lb n="c57-0019__main__28"/> 	it. But 
C18_app386	I was baffled in every attempt 	I was baffled in every attempt 	I was baffled in every attempt 	I was baffled in every attempt 	I was baffled in every attempt 
C18_app387	I 	I 	I 	<del rend="strikethrough" sID="c57-0019__main__d3e4157"/>they<del eID="c57-0019__main__d3e4157"/>I 	I 
C18_app388	made for this 	made for this 	made for this 	made for this 	made for this 
C18_app389	purpose. 	purpose. 	purpose. 	purpose<lb n="c57-0019__main__29"/> 	purpose. 
C18_app390	Their pronunciation was 	Their pronunciation was 	Their pronunciation was 	Their pronunciation was 	Their pronunciation was 
C18_app391	quick; 	quick; 	quick; 	quick 	quick; 
C18_app392	and the 	and the 	and the 	& the 	and the 
C18_app393				<lb n="c57-0019__main__30"/> 	
C18_app394	words they 	words they 	words they 	words they 	words they 
C18_app395	uttered, 	uttered, 	uttered, 	uttered <del rend="strikethrough" sID="c57-0019__main__d3e4172"/>seemed<del eID="c57-0019__main__d3e4172"/><del rend="strikethrough" sID="c57-0019__main__d3e4175"/>had<del eID="c57-0019__main__d3e4175"/> 	uttered, 
C18_app396	not having any apparent 	not having any apparent 	not having any apparent 	not having<lb n="c57-0020__main__1"/> any apparent 	not having any apparent 
C18_app397			connection 	<del rend="strikethrough" sID="c57-0020__main__d3e4191"/>co<del eID="c57-0020__main__d3e4191"/> 	
C18_app398	connexion 	connexion 		connexion 	connexion 
C18_app399	with 	with 	with 	with 	with 
C18_app400				<del rend="strikethrough" sID="c57-0020__main__d3e4194"/>the<del eID="c57-0020__main__d3e4194"/> 	
C18_app401	visible 	visible 	visible 	visible 	visible 
C18_app402	objects, 	objects, 	objects, 	<lb n="c57-0020__main__2"/> objects 	objects, 
C18_app403	I was unable to discover any clue 	I was unable to discover any clue 	I was unable to discover any clue 	I was unable to discover any clue 	I was unable to discover any clue 
C18_app404				<lb n="c57-0020__main__3"/> 	
C18_app405	by which I could 	by which I could 	by which I could 	by which I could 	by which I could 
C18_app406	unravel 	unravel 	unravel 	unrable 	unravel 
C18_app407	the mystery 	the mystery 	the mystery 	the mystery 	the mystery 
C18_app408				<lb n="c57-0020__main__4"/> 	
C18_app409	of their 	of their 	of their 	of their 	of their 
C18_app410	reference. 	reference. 	reference. 	<del rend="strikethrough" sID="c57-0020__main__d3e4206"/>sounds.<del eID="c57-0020__main__d3e4206"/><del rend="strikethrough" sID="c57-0020__main__d3e4211"/>application<del eID="c57-0020__main__d3e4211"/> reference.. 	reference. 
C18_app411	By great 	By great 	By great 	By great 	By great 
C18_app412	application, however, 	application, however, 	application, however, 	application how <lb n="c57-0020__main__5"/> ever 	application, however, 
C18_app413	and after having 	and after having 	and after having 	and after having 	and after having 
C18_app414	re<pb n="059" xml:id="F1818_v2_063"/>mained 	re<pb n="240" xml:id="F1823_v1_259"/>mained 	remained 	remained 	re<pb n="059" xml:id="F1818_v2_063"/>mained 
C18_app415	during the space of several 	during the space of several 	during the space of several 	<metamark function="insert">^</metamark>during the space of several 	during the space of several 
C18_app416				<lb n="c57-0020__main__6"/> 	
C18_app417	revolutions of the moon in my 	revolutions of the moon in my 	revolutions of the moon in my 	revolutions of the moon in my 	revolutions of the moon in my 
C18_app418	hovel, 	hovel, 	hovel, 	hovel <lb n="c57-0020__main__7"/> 	hovel, 
C18_app419	I discovered the names that were given 	I discovered the names that were given 	I discovered the names that were given 	I discovered the names that were given 	I discovered the names that were given 
C18_app420				<lb n="c57-0020__main__8"/> 	
C18_app421	to some of the most familiar objects of 	to some of the most familiar objects of 	to some of the most familiar objects of 	to some of the most familiar objects <lb n="c57-0020__main__9"/><lb n="c57-0020__left_margin__1"/>of 	to some of the most familiar objects of 
C18_app422	discourse; 	discourse; 	discourse; 	discourse, 	discourse; 
C18_app423	I learned and applied the 	I learned and applied the 	I learned and applied the 	I learned <metamark function="insert">^</metamark>& applied the 	I learned and applied the 
C18_app424	words 	words, 	words, 	words 	words 
C18_app425	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi1"/>fire<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi1"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p9_hi2"/>milk<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi2"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p9_hi3"/>bread<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi3"/>, 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi1"/>fire<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi1"/>, <hi sID="novel1_letter4_chapter11_div4_div11_p9_hi2"/>milk<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi2"/>, <hi sID="novel1_letter4_chapter11_div4_div11_p9_hi3"/>bread<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi3"/>, 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi1"/>fire<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi1"/>, <hi sID="novel1_letter4_chapter12_div4_div12_p9_hi2"/>milk<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi2"/>, <hi sID="novel1_letter4_chapter12_div4_div12_p9_hi3"/>bread<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi3"/>, 	<shi rend="underline">fire, </shi><shi rend="underline">mil</shi>k 	<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi1"/>fire<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi1"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p8_hi2"/>milk<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi2"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p8_hi3"/>bread<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi3"/>, 
C18_app426	and 	and 	and 	<lb n="c57-0020__main__10"/><shi rend="underline">bread</shi>&<shi rend="underline">wood</shi> 	and 
C18_app427	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi4"/>wood<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi4"/>. 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi4"/>wood<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi4"/>. 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi4"/>wood<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi4"/>. 		<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi4"/>wood<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi4"/>. 
C18_app428	I learned also the names 	I learned also the names 	I learned also the names 	I learned also the names 	I learned also the names 
C18_app429				<lb n="c57-0020__main__11"/> 	
C18_app430	of the cottagers 	of the cottagers 	of the cottagers 	of the cottagers 	of the cottagers 
C18_app431	themselves. The youth 	themselves. The youth 	themselves. The youth 	themsel<mdel>f</mdel>ves– <del rend="strikethrough" sID="c57-0020__main__d3e4291"/>but as<del eID="c57-0020__main__d3e4291"/><lb n="c57-0020__main__12"/> the<mdel>y</mdel><metamark function="insert">^</metamark>youth 	themselves. The youth 
C18_app432	and his companion had 	and his companion had 	and his companion had 	& his companion had 	and his companion had 
C18_app433				h 	
C18_app434	each of them several 	each of them several 	each of them several 	each of them several 	each of them several 
C18_app435	names, 	names, 	names, 		names, 
C18_app436	but 	but 	but 	but 	but 
C18_app437				<lb n="c57-0020__main__13"/> 	
C18_app438	the old man had only 	the old man had only 	the old man had only 	the old man had only 	the old man had only 
C18_app439	one, 	one, 	one, 	one 	one, 
C18_app440	which 	which 	which 	which 	which 
C18_app441				<lb n="c57-0020__main__14"/> 	
C18_app442	was 	was 	was 	was 	was 
C18_app443	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi5"/>father<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi5"/>. 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi5"/>father<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi5"/>. 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi5"/>father<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi5"/>. 	<shi rend="underline">Father</shi> – 	<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi5"/>father<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi5"/>. 
C18_app444	The girl was 	The girl was 	The girl was 	the girl was 	The girl was 
C18_app445	called <hi sID="novel1_letter4_chapter11_div4_div12_p9_hi6"/>sister<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi6"/>, 	called <hi sID="novel1_letter4_chapter11_div4_div11_p9_hi6"/>sister<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi6"/>, 	called <hi sID="novel1_letter4_chapter12_div4_div12_p9_hi6"/>sister<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi6"/>, 	call<del rend="strikethrough" sID="c57-0020__main__d3e4322"/>ed Sist<del eID="c57-0020__main__d3e4322"/><lb n="c57-0020__main__15"/> Sister 	called <hi sID="novel1_letter4_chapter11_div4_div12_p8_hi6"/>sister<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi6"/>, 
C18_app446	or 	or 	or 	or 	or 
C18_app447	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi7"/>Agatha<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi7"/>; 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi7"/>Agatha<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi7"/>; 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi7"/>Agatha<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi7"/>; 	Agatha 	<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi7"/>Agatha<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi7"/>; 
C18_app448	and the youth 	and the youth 	and the youth 	and the youth 	and the youth 
C18_app449	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi8"/>Felix<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi8"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p9_hi9"/>brother<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi9"/>, 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi8"/>Felix<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi8"/>, <hi sID="novel1_letter4_chapter11_div4_div11_p9_hi9"/>brother<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi9"/>, 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi8"/>Felix<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi8"/>, <hi sID="novel1_letter4_chapter12_div4_div12_p9_hi9"/>brother<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi9"/>, 	<lb n="c57-0020__main__16"/> Felix. <metamark function="insert">^</metamark><mdel>or</mdel> brother 	<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi8"/>Felix<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi8"/>, <hi sID="novel1_letter4_chapter11_div4_div12_p8_hi9"/>brother<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi9"/>, 
C18_app450	or 	or 	or 	or 	or 
C18_app451	<hi sID="novel1_letter4_chapter11_div4_div12_p9_hi10"/>son<hi eID="novel1_letter4_chapter11_div4_div12_p9_hi10"/>. 	<hi sID="novel1_letter4_chapter11_div4_div11_p9_hi10"/>son<hi eID="novel1_letter4_chapter11_div4_div11_p9_hi10"/>. 	<hi sID="novel1_letter4_chapter12_div4_div12_p9_hi10"/>son<hi eID="novel1_letter4_chapter12_div4_div12_p9_hi10"/>. 	son 	<hi sID="novel1_letter4_chapter11_div4_div12_p8_hi10"/>son<hi eID="novel1_letter4_chapter11_div4_div12_p8_hi10"/>. 
C18_app452	I 	I 	I 	I 	I 
C18_app453				<del rend="strikethrough" sID="c57-0020__main__d3e4344"/>c<del eID="c57-0020__main__d3e4344"/> 	
C18_app454	cannot describe the delight 	cannot describe the delight 	cannot describe the delight 	cannot describe the delight 	cannot describe the delight 
C18_app455				<lb n="c57-0020__main__17"/> 	
C18_app456	I felt when I 	I felt when I 	I felt when I 	I felt when I 	I felt when I 
C18_app457	learned 	learned 	learned 	<del rend="strikethrough" sID="c57-0020__main__d3e4352"/>discovered<del eID="c57-0020__main__d3e4352"/><metamark function="insert">^</metamark>learned 	learned 
C18_app458	the ideas 	the ideas 	the ideas 	the ideas 	the ideas 
C18_app459				<del rend="strikethrough" sID="c57-0020__main__d3e4365"/>opp<del eID="c57-0020__main__d3e4365"/><lb n="c57-0020__main__18"/> 	
C18_app460	appropriated to each of these 	appropriated to each of these 	appropriated to each of these 	appropriated to each of these 	appropriated to each of these 
C18_app461	sounds, 	sounds, 	sounds, 	sounds <lb n="c57-0020__main__19"/> 	sounds, 
C18_app462	and 	and 	and 	and 	and 
C18_app463	was 	was 	<pb n="96" xml:id="F1831_v_112"/>was 	was 	was 
C18_app464	able to pronounce them. 	able to pronounce them. 	able to pronounce them. 	able to pronounce them. 	able to pronounce them. 
C18_app465				<del rend="strikethrough" sID="c57-0020__main__d3e4372"/>But<del eID="c57-0020__main__d3e4372"/><lb n="c57-0020__main__20"/> 	
C18_app466	I 	I 	I 	I 	I 
C18_app467	distinguished 	distinguished 	distinguished 	<del rend="strikethrough" sID="c57-0020__main__d3e4380"/>learned<del eID="c57-0020__main__d3e4380"/><metamark function="insert">^</metamark>distinguished 	distinguished 
C18_app468	several other 	several other 	several other 	several other 	several other 
